,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
0.0,0.475120218579235,0.168,0.2905,0.323,0.35200000000000004,0.37,0.38849999999999996,0.40399999999999997,0.42,0.436,0.45,0.46,0.474,0.49200000000000005,0.5085,0.524,0.544,0.562,0.5865,0.614,0.6855,2.158
0.5,0.43892896174863366,0.0,0.2565,0.296,0.316,0.33799999999999997,0.358,0.375,0.38949999999999996,0.4,0.418,0.43299999999999994,0.44799999999999995,0.466,0.478,0.49200000000000005,0.508,0.528,0.5605,0.586,0.6335000000000001,1.162
1.0,0.42767213114754055,0.0,0.2605,0.28700000000000003,0.3115,0.332,0.34850000000000003,0.364,0.37799999999999995,0.392,0.40049999999999997,0.41600000000000004,0.42800000000000005,0.446,0.467,0.48699999999999993,0.506,0.528,0.55,0.569,0.6154999999999999,1.042
1.5,0.4218633879781422,0.0,0.2355,0.269,0.302,0.33,0.354,0.364,0.37799999999999995,0.39799999999999996,0.408,0.424,0.43400000000000005,0.44799999999999995,0.466,0.478,0.488,0.504,0.5305,0.552,0.593,1.504
2.0,0.4060874316939891,0.0,0.23850000000000002,0.273,0.29500000000000004,0.318,0.3365,0.35200000000000004,0.364,0.374,0.386,0.4,0.41200000000000003,0.424,0.434,0.44799999999999995,0.46399999999999997,0.488,0.506,0.542,0.584,1.442
2.5,0.3918306010928961,0.0,0.222,0.265,0.29600000000000004,0.31,0.3245,0.342,0.355,0.366,0.38,0.3929999999999999,0.4,0.414,0.426,0.442,0.4555,0.47600000000000003,0.5,0.52,0.552,1.128
3.0,0.3864699453551918,0.004,0.2305,0.266,0.2835,0.298,0.318,0.33799999999999997,0.35200000000000004,0.366,0.376,0.38799999999999996,0.39399999999999996,0.408,0.42,0.43499999999999994,0.44799999999999995,0.466,0.4845,0.515,0.549,0.682
3.5,0.3689562841530055,0.006,0.2005,0.248,0.272,0.298,0.312,0.323,0.342,0.354,0.36049999999999993,0.37200000000000005,0.382,0.396,0.406,0.41200000000000003,0.4295,0.442,0.4605,0.484,0.509,0.746
4.0,0.35753005464480847,0.016,0.20950000000000002,0.243,0.2635,0.278,0.29650000000000004,0.312,0.322,0.336,0.344,0.357,0.366,0.38,0.392,0.402,0.41150000000000003,0.436,0.456,0.47600000000000003,0.5095000000000001,0.632
4.5,0.3828743169398907,0.006,0.214,0.269,0.28550000000000003,0.306,0.3245,0.33899999999999997,0.348,0.358,0.37049999999999994,0.382,0.39,0.4,0.4105,0.424,0.436,0.45,0.4785,0.506,0.544,1.22
