,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
0.0,0.49064516129032254,0.264,0.328,0.36,0.371,0.37799999999999995,0.386,0.39,0.395,0.40399999999999997,0.41899999999999993,0.446,0.46299999999999997,0.484,0.497,0.504,0.5690000000000001,0.598,0.607,0.614,0.734,1.23
0.5,0.44903225806451613,0.0,0.27799999999999997,0.33,0.33799999999999997,0.366,0.368,0.37,0.39099999999999996,0.418,0.425,0.43200000000000005,0.44799999999999995,0.45799999999999996,0.488,0.504,0.514,0.516,0.5409999999999999,0.568,0.607,1.162
1.0,0.41625806451612896,0.0,0.319,0.32799999999999996,0.341,0.35200000000000004,0.355,0.364,0.385,0.392,0.396,0.39799999999999996,0.4109999999999999,0.41600000000000004,0.42100000000000004,0.43,0.475,0.508,0.53,0.5479999999999999,0.609,0.684
1.5,0.41961290322580647,0.0,0.33,0.35,0.355,0.364,0.371,0.37799999999999995,0.385,0.396,0.41,0.42399999999999993,0.427,0.428,0.44,0.456,0.46799999999999997,0.478,0.484,0.522,0.566,0.74
2.0,0.41554838709677416,0.272,0.30500000000000005,0.33399999999999996,0.35200000000000004,0.35600000000000004,0.361,0.364,0.369,0.374,0.383,0.38799999999999996,0.40900000000000003,0.414,0.419,0.428,0.448,0.46399999999999997,0.482,0.546,0.616,0.654
2.5,0.3966451612903226,0.29,0.31800000000000006,0.342,0.342,0.344,0.35,0.35600000000000004,0.362,0.37200000000000005,0.38199999999999995,0.38799999999999996,0.399,0.40399999999999997,0.411,0.41600000000000004,0.426,0.43200000000000005,0.44700000000000006,0.494,0.519,0.546
3.0,0.4093548387096775,0.252,0.29800000000000004,0.316,0.338,0.348,0.371,0.374,0.381,0.384,0.393,0.39399999999999996,0.39799999999999996,0.41200000000000003,0.422,0.436,0.43799999999999994,0.466,0.484,0.522,0.529,0.682
3.5,0.4043225806451613,0.306,0.326,0.336,0.33899999999999997,0.342,0.347,0.35600000000000004,0.357,0.36,0.37799999999999995,0.38,0.381,0.384,0.393,0.44799999999999995,0.46599999999999997,0.47200000000000003,0.485,0.49200000000000005,0.5469999999999999,0.62
4.0,0.3721935483870967,0.25,0.312,0.318,0.323,0.32799999999999996,0.33199999999999996,0.34,0.34400000000000003,0.35200000000000004,0.36,0.364,0.366,0.368,0.37,0.382,0.397,0.41,0.427,0.436,0.504,0.52
4.5,0.4465161290322581,0.32,0.336,0.342,0.348,0.366,0.388,0.396,0.4,0.41,0.415,0.42399999999999993,0.43499999999999994,0.442,0.451,0.48,0.48200000000000004,0.5,0.515,0.624,0.648,0.7020000000000001
5.0,0.4178709677419355,0.26,0.29600000000000004,0.332,0.33999999999999997,0.34600000000000003,0.353,0.364,0.372,0.38,0.383,0.39199999999999996,0.39699999999999996,0.402,0.411,0.426,0.487,0.49,0.5,0.514,0.542,0.8859999999999999
5.5,0.5105161290322581,0.29600000000000004,0.319,0.33799999999999997,0.344,0.374,0.385,0.39399999999999996,0.404,0.41,0.45399999999999996,0.47,0.48199999999999993,0.54,0.5640000000000001,0.59,0.611,0.624,0.6940000000000001,0.722,0.765,1.024
6.0,0.7727096774193546,0.32,0.322,0.342,0.387,0.446,0.499,0.506,0.6809999999999999,0.732,0.811,0.828,0.8439999999999999,0.866,0.9019999999999999,0.938,0.9830000000000001,1.01,1.052,1.156,1.256,1.3359999999999999
6.5,0.7087741935483871,0.384,0.416,0.442,0.46499999999999997,0.47200000000000003,0.473,0.48200000000000004,0.49,0.5,0.5149999999999999,0.5339999999999999,0.595,0.652,0.782,0.7959999999999999,0.831,0.868,0.9179999999999999,0.998,1.163,2.548
