,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
0.0,0.00019672131147540983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
0.5,3.278688524590164e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
1.0,9.836065573770493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
1.5,0.0001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
2.0,0.0002622950819672131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
2.5,0.0002622950819672131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
3.0,0.0002950819672131147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
3.5,0.00022950819672131145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
4.0,0.0002622950819672131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
4.5,0.00032786885245901634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
5.0,0.0002950819672131147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
5.5,0.0002622950819672131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
6.0,0.0024371584699453565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.038
6.5,0.010956284153005447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.012,0.026000000000000002,0.026000000000000002,0.032,0.038,0.062
7.0,0.026885245901639387,0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.012,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.038,0.038,0.038,0.05,0.05,0.062,0.076,0.11199999999999999
7.5,0.06022950819672148,0.0,0.012,0.012,0.022500000000000003,0.026000000000000002,0.026000000000000002,0.038,0.038,0.038,0.05,0.062,0.062,0.062,0.076,0.076,0.085,0.08800000000000001,0.1,0.11199999999999999,0.138,0.226
8.0,0.1098196721311475,0.0,0.026000000000000002,0.038,0.05,0.05,0.062,0.076,0.08800000000000001,0.08800000000000001,0.1,0.1,0.11199999999999999,0.126,0.126,0.138,0.15,0.162,0.17600000000000002,0.188,0.212,0.312
8.5,0.1728743169398907,0.0,0.038,0.062,0.076,0.1,0.11199999999999999,0.126,0.13499999999999984,0.15,0.162,0.17600000000000002,0.188,0.2,0.203,0.212,0.226,0.23800000000000002,0.262,0.28800000000000003,0.309,0.4
9.0,0.23891803278688475,0.0,0.05,0.076,0.1,0.126,0.15,0.188,0.2,0.226,0.238,0.25,0.262,0.276,0.3,0.312,0.326,0.33799999999999997,0.35,0.369,0.4,0.47600000000000003
9.5,0.3031693989071035,0.0,0.05,0.1,0.126,0.17600000000000002,0.212,0.23800000000000002,0.262,0.28800000000000003,0.3154999999999996,0.33799999999999997,0.35,0.36200000000000004,0.376,0.38799999999999996,0.4,0.41200000000000003,0.43799999999999994,0.462,0.488,0.5760000000000001
10.0,0.35973770491803253,0.012,0.076,0.11199999999999999,0.15,0.188,0.212,0.262,0.30899999999999983,0.35,0.376,0.41200000000000003,0.426,0.43799999999999994,0.45,0.46899999999999964,0.488,0.5,0.526,0.5379999999999999,0.5760000000000001,0.626
10.5,0.40367759562841504,0.012,0.08800000000000001,0.132,0.162,0.212,0.25,0.3,0.33799999999999997,0.376,0.41200000000000003,0.462,0.488,0.5,0.526,0.5379999999999999,0.55,0.562,0.6,0.612,0.638,0.7120000000000001
11.0,0.43686338797814267,0.012,0.076,0.126,0.17600000000000002,0.226,0.262,0.312,0.35,0.4,0.4654999999999996,0.512,0.5379999999999999,0.55,0.562,0.5760000000000001,0.6,0.626,0.653,0.662,0.7,0.762
