,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
0.0,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0007741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.012
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0007741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.012
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.005870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005999999999999958,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.026000000000000002
6.5,0.027548387096774197,0.0,0.006,0.012,0.012,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.038,0.038,0.038,0.038,0.05,0.062
7.0,0.04335483870967743,0.0,0.006,0.012,0.019000000000000003,0.026000000000000002,0.026000000000000002,0.038,0.038,0.038,0.038,0.04999999999999998,0.05,0.05,0.05,0.05,0.05,0.062,0.062,0.076,0.082,0.1
7.5,0.07470967741935483,0.012,0.019000000000000003,0.026000000000000002,0.038,0.062,0.062,0.062,0.062,0.062,0.06899999999999998,0.076,0.076,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.094,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.119,0.138
8.0,0.1230322580645161,0.012,0.025,0.038,0.038,0.062,0.087,0.126,0.126,0.138,0.144,0.15,0.15,0.15,0.156,0.162,0.162,0.162,0.162,0.162,0.182,0.188
8.5,0.19135483870967743,0.026000000000000002,0.038,0.038,0.082,0.1,0.119,0.138,0.15700000000000003,0.188,0.206,0.238,0.25,0.25,0.262,0.262,0.262,0.262,0.269,0.276,0.28200000000000003,0.3
9.0,0.24529032258064518,0.026000000000000002,0.05,0.05,0.082,0.08800000000000001,0.14400000000000002,0.15,0.175,0.212,0.27499999999999986,0.312,0.326,0.33799999999999997,0.344,0.35,0.356,0.36200000000000004,0.36200000000000004,0.36200000000000004,0.369,0.38799999999999996
9.5,0.29838709677419356,0.038,0.044,0.076,0.088,0.1,0.14400000000000002,0.17600000000000002,0.194,0.25,0.33799999999999997,0.35,0.3749999999999999,0.4,0.426,0.43799999999999994,0.45,0.45,0.46900000000000003,0.47600000000000003,0.47600000000000003,0.488
10.0,0.37000000000000005,0.038,0.069,0.1,0.125,0.162,0.194,0.28800000000000003,0.33199999999999996,0.33799999999999997,0.369,0.376,0.45699999999999985,0.512,0.519,0.526,0.5379999999999999,0.55,0.556,0.562,0.562,0.5760000000000001
10.5,0.4018064516129031,0.062,0.07500000000000001,0.11199999999999999,0.175,0.212,0.232,0.25,0.28800000000000003,0.312,0.32499999999999996,0.3879999999999999,0.4819999999999996,0.562,0.594,0.6,0.6,0.612,0.626,0.638,0.638,0.638
11.0,0.4227741935483871,0.038,0.1,0.11199999999999999,0.17600000000000002,0.188,0.188,0.23800000000000002,0.269,0.312,0.3569999999999999,0.39999999999999997,0.46899999999999964,0.612,0.638,0.662,0.662,0.662,0.6759999999999999,0.7,0.7,0.7120000000000001
11.5,0.4607096774193548,0.05,0.106,0.138,0.163,0.212,0.244,0.262,0.31900000000000006,0.38799999999999996,0.481,0.512,0.526,0.562,0.632,0.6759999999999999,0.7,0.7120000000000001,0.726,0.738,0.744,0.75
12.0,0.49070967741935484,0.08800000000000001,0.1,0.11199999999999999,0.187,0.226,0.28800000000000003,0.326,0.36200000000000004,0.376,0.4749999999999999,0.5,0.5509999999999999,0.626,0.669,0.726,0.738,0.762,0.7759999999999999,0.7759999999999999,0.7819999999999999,0.838
12.5,0.522451612903226,0.038,0.063,0.11199999999999999,0.21900000000000003,0.312,0.34400000000000003,0.376,0.394,0.45,0.5129999999999999,0.5760000000000001,0.6439999999999997,0.688,0.738,0.738,0.75,0.762,0.7879999999999999,0.8,0.806,0.826
13.0,0.5152258064516129,0.05,0.069,0.08800000000000001,0.132,0.212,0.244,0.326,0.388,0.41200000000000003,0.5759999999999998,0.638,0.6809999999999998,0.7120000000000001,0.732,0.75,0.75,0.7759999999999999,0.794,0.8,0.819,0.838
13.5,0.526258064516129,0.05,0.082,0.1,0.16899999999999998,0.226,0.313,0.36200000000000004,0.494,0.5,0.5630000000000001,0.5760000000000001,0.5999999999999999,0.6759999999999999,0.726,0.738,0.7759999999999999,0.7879999999999999,0.794,0.8,0.819,0.826
14.0,0.493225806451613,0.05,0.063,0.11199999999999999,0.132,0.15,0.169,0.2,0.281,0.4,0.49399999999999983,0.6119999999999999,0.6499999999999999,0.738,0.744,0.762,0.7819999999999999,0.7879999999999999,0.8,0.812,0.812,0.812
14.5,0.4724516129032258,0.026000000000000002,0.044,0.05,0.082,0.11199999999999999,0.16899999999999998,0.23800000000000002,0.275,0.38799999999999996,0.46899999999999986,0.526,0.6629999999999997,0.7120000000000001,0.738,0.762,0.762,0.762,0.7689999999999999,0.7759999999999999,0.7819999999999999,0.7879999999999999
15.0,0.44619354838709674,0.0,0.038000000000000006,0.062,0.1,0.17600000000000002,0.194,0.262,0.326,0.376,0.44999999999999984,0.488,0.5499999999999997,0.612,0.65,0.662,0.706,0.726,0.732,0.738,0.738,0.762
15.5,0.3961935483870968,0.012,0.031,0.062,0.07500000000000001,0.11199999999999999,0.126,0.126,0.23800000000000002,0.326,0.3629999999999999,0.4379999999999999,0.5059999999999998,0.562,0.626,0.638,0.662,0.662,0.669,0.6759999999999999,0.688,0.7
16.0,0.358,0.026000000000000002,0.026000000000000002,0.038,0.05,0.062,0.082,0.1,0.194,0.3,0.38799999999999985,0.45,0.49399999999999994,0.526,0.5379999999999999,0.55,0.594,0.6,0.606,0.612,0.626,0.638
16.5,0.3112258064516129,0.012,0.032,0.038,0.05,0.076,0.08800000000000001,0.08800000000000001,0.138,0.226,0.2879999999999998,0.3999999999999999,0.45599999999999996,0.462,0.488,0.488,0.5,0.5,0.532,0.5379999999999999,0.544,0.588
17.0,0.23858064516129032,0.0,0.012,0.026000000000000002,0.032,0.05,0.056,0.076,0.076,0.2,0.226,0.2879999999999999,0.30599999999999994,0.312,0.33199999999999996,0.41200000000000003,0.41900000000000004,0.426,0.43799999999999994,0.45,0.45,0.462
17.5,0.17883870967741927,0.0,0.0,0.012,0.019000000000000003,0.026000000000000002,0.038000000000000006,0.05,0.07500000000000001,0.08800000000000001,0.15599999999999983,0.21199999999999997,0.24999999999999992,0.276,0.28800000000000003,0.3,0.3,0.312,0.326,0.326,0.33799999999999997,0.36200000000000004
18.0,0.11458064516129034,0.0,0.006,0.012,0.012,0.012,0.026000000000000002,0.026000000000000002,0.05,0.062,0.09399999999999999,0.11199999999999997,0.12499999999999992,0.15,0.16899999999999998,0.188,0.188,0.212,0.212,0.226,0.25,0.28800000000000003
18.5,0.04445161290322581,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.019000000000000003,0.026000000000000002,0.026000000000000002,0.03799999999999998,0.043999999999999956,0.05,0.056,0.062,0.069,0.076,0.094,0.1,0.11199999999999999,0.138
19.0,0.009677419354838712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01199999999999998,0.012,0.012,0.012,0.012,0.012,0.012,0.026000000000000002,0.026000000000000002,0.032,0.038
19.5,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
20.0,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
21.5,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
22.0,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
23.5,0.0003870967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
