,GC,GG
2011-07-01 00:00:00,0.392,0.0
2011-07-01 00:30:00,0.578,0.0
2011-07-01 01:00:00,0.568,0.0
2011-07-01 01:30:00,0.48200000000000004,0.0
2011-07-01 02:00:00,0.456,0.0
2011-07-01 02:30:00,0.39799999999999996,0.0
2011-07-01 03:00:00,0.38799999999999996,0.0
2011-07-01 03:30:00,0.442,0.0
2011-07-01 04:00:00,0.39799999999999996,0.0
2011-07-01 04:30:00,0.26,0.0
2011-07-01 05:00:00,0.358,0.0
2011-07-01 05:30:00,0.45399999999999996,0.0
2011-07-01 06:00:00,0.368,0.0
2011-07-01 06:30:00,0.8740000000000001,0.0
2011-07-01 07:00:00,1.038,0.012
2011-07-01 07:30:00,2.05,0.038
2011-07-01 08:00:00,1.476,0.08800000000000001
2011-07-01 08:30:00,0.278,0.188
2011-07-01 09:00:00,0.418,0.212
2011-07-01 09:30:00,0.336,0.2
2011-07-01 10:00:00,0.23600000000000002,0.36200000000000004
2011-07-01 10:30:00,0.452,0.47600000000000003
2011-07-01 11:00:00,0.478,0.3
2011-07-01 11:30:00,0.534,0.426
2011-07-01 12:00:00,0.46799999999999997,0.226
2011-07-01 12:30:00,0.40399999999999997,0.17600000000000002
2011-07-01 13:00:00,0.516,0.17600000000000002
2011-07-01 13:30:00,0.442,0.188
2011-07-01 14:00:00,0.534,0.17600000000000002
2011-07-01 14:30:00,0.456,0.25
2011-07-01 15:00:00,0.49200000000000005,0.188
2011-07-01 15:30:00,2.29,0.138
2011-07-01 16:00:00,2.4459999999999997,0.11199999999999999
2011-07-01 16:30:00,2.286,0.012
2011-07-01 17:00:00,2.958,0.0
2011-07-01 17:30:00,1.6780000000000002,0.0
2011-07-01 18:00:00,1.054,0.0
2011-07-01 18:30:00,0.966,0.0
2011-07-01 19:00:00,0.8420000000000001,0.0
2011-07-01 19:30:00,0.858,0.0
2011-07-01 20:00:00,0.8640000000000001,0.0
2011-07-01 20:30:00,0.792,0.0
2011-07-01 21:00:00,0.8079999999999999,0.0
2011-07-01 21:30:00,0.6679999999999999,0.0
2011-07-01 22:00:00,0.688,0.0
2011-07-01 22:30:00,0.72,0.0
2011-07-01 23:00:00,0.478,0.0
2011-07-01 23:30:00,0.47600000000000003,0.0
2011-07-02 00:00:00,0.504,0.0
2011-07-02 00:30:00,0.45399999999999996,0.0
2011-07-02 01:00:00,0.39399999999999996,0.0
2011-07-02 01:30:00,0.302,0.0
2011-07-02 02:00:00,0.39,0.0
2011-07-02 02:30:00,0.366,0.0
2011-07-02 03:00:00,0.198,0.0
2011-07-02 03:30:00,0.27,0.0
2011-07-02 04:00:00,0.27,0.0
2011-07-02 04:30:00,0.27399999999999997,0.0
2011-07-02 05:00:00,0.304,0.0
2011-07-02 05:30:00,0.5539999999999999,0.0
2011-07-02 06:00:00,0.6559999999999999,0.0
2011-07-02 06:30:00,0.7659999999999999,0.0
2011-07-02 07:00:00,0.654,0.012
2011-07-02 07:30:00,0.672,0.038
2011-07-02 08:00:00,0.8740000000000001,0.08800000000000001
2011-07-02 08:30:00,0.396,0.17600000000000002
2011-07-02 09:00:00,0.9079999999999999,0.262
2011-07-02 09:30:00,0.532,0.35
2011-07-02 10:00:00,0.496,0.426
2011-07-02 10:30:00,0.41600000000000004,0.47600000000000003
2011-07-02 11:00:00,0.6659999999999999,0.526
2011-07-02 11:30:00,0.526,0.562
2011-07-02 12:00:00,0.354,0.55
2011-07-02 12:30:00,0.49200000000000005,0.6
2011-07-02 13:00:00,0.364,0.3
2011-07-02 13:30:00,0.444,0.5760000000000001
2011-07-02 14:00:00,0.322,0.512
2011-07-02 14:30:00,0.72,0.47600000000000003
2011-07-02 15:00:00,0.846,0.33799999999999997
2011-07-02 15:30:00,0.39,0.3
2011-07-02 16:00:00,0.39399999999999996,0.126
2011-07-02 16:30:00,0.396,0.012
2011-07-02 17:00:00,0.6579999999999999,0.0
2011-07-02 17:30:00,0.594,0.0
2011-07-02 18:00:00,0.7979999999999999,0.0
2011-07-02 18:30:00,0.8220000000000001,0.0
2011-07-02 19:00:00,0.7659999999999999,0.0
2011-07-02 19:30:00,0.7859999999999999,0.0
2011-07-02 20:00:00,0.762,0.0
2011-07-02 20:30:00,0.772,0.0
2011-07-02 21:00:00,0.7759999999999999,0.0
2011-07-02 21:30:00,0.584,0.0
2011-07-02 22:00:00,0.368,0.0
2011-07-02 22:30:00,0.452,0.0
2011-07-02 23:00:00,0.474,0.012
2011-07-02 23:30:00,0.54,0.0
2011-07-03 00:00:00,0.5920000000000001,0.0
2011-07-03 00:30:00,0.478,0.0
2011-07-03 01:00:00,0.364,0.0
2011-07-03 01:30:00,0.44799999999999995,0.0
2011-07-03 02:00:00,0.4,0.0
2011-07-03 02:30:00,0.198,0.0
2011-07-03 03:00:00,0.306,0.0
2011-07-03 03:30:00,0.3,0.0
2011-07-03 04:00:00,0.214,0.0
2011-07-03 04:30:00,0.326,0.0
2011-07-03 05:00:00,0.5760000000000001,0.0
2011-07-03 05:30:00,0.618,0.0
2011-07-03 06:00:00,0.5920000000000001,0.0
2011-07-03 06:30:00,0.282,0.0
2011-07-03 07:00:00,0.284,0.0
2011-07-03 07:30:00,0.502,0.038
2011-07-03 08:00:00,0.19,0.08800000000000001
2011-07-03 08:30:00,0.602,0.188
2011-07-03 09:00:00,0.382,0.25
2011-07-03 09:30:00,0.342,0.36200000000000004
2011-07-03 10:00:00,0.502,0.41200000000000003
2011-07-03 10:30:00,0.616,0.488
2011-07-03 11:00:00,0.628,0.5379999999999999
2011-07-03 11:30:00,0.536,0.562
2011-07-03 12:00:00,0.7,0.588
2011-07-03 12:30:00,0.52,0.588
2011-07-03 13:00:00,0.642,0.588
2011-07-03 13:30:00,1.3659999999999999,0.562
2011-07-03 14:00:00,1.0759999999999998,0.376
2011-07-03 14:30:00,1.3519999999999999,0.426
2011-07-03 15:00:00,1.3159999999999998,0.4
2011-07-03 15:30:00,1.452,0.2
2011-07-03 16:00:00,1.058,0.012
2011-07-03 16:30:00,1.1320000000000001,0.0
2011-07-03 17:00:00,0.828,0.0
2011-07-03 17:30:00,0.47,0.0
2011-07-03 18:00:00,0.37,0.0
2011-07-03 18:30:00,0.396,0.0
2011-07-03 19:00:00,0.37200000000000005,0.0
2011-07-03 19:30:00,0.35,0.0
2011-07-03 20:00:00,0.49200000000000005,0.0
2011-07-03 20:30:00,0.552,0.0
2011-07-03 21:00:00,0.654,0.0
2011-07-03 21:30:00,0.7140000000000001,0.0
2011-07-03 22:00:00,0.52,0.0
2011-07-03 22:30:00,0.478,0.0
2011-07-03 23:00:00,0.48,0.0
2011-07-03 23:30:00,0.44,0.0
2011-07-04 00:00:00,0.414,0.0
2011-07-04 00:30:00,0.258,0.0
2011-07-04 01:00:00,0.26,0.0
2011-07-04 01:30:00,0.318,0.0
2011-07-04 02:00:00,0.326,0.0
2011-07-04 02:30:00,0.204,0.0
2011-07-04 03:00:00,0.23600000000000002,0.0
2011-07-04 03:30:00,0.262,0.0
2011-07-04 04:00:00,0.228,0.0
2011-07-04 04:30:00,0.282,0.0
2011-07-04 05:00:00,0.228,0.0
2011-07-04 05:30:00,0.22399999999999998,0.012
2011-07-04 06:00:00,0.264,0.0
2011-07-04 06:30:00,0.368,0.0
2011-07-04 07:00:00,0.332,0.0
2011-07-04 07:30:00,0.204,0.026000000000000002
2011-07-04 08:00:00,0.21,0.08800000000000001
2011-07-04 08:30:00,0.278,0.162
2011-07-04 09:00:00,0.324,0.262
2011-07-04 09:30:00,0.406,0.35
2011-07-04 10:00:00,0.546,0.41200000000000003
2011-07-04 10:30:00,0.512,0.488
2011-07-04 11:00:00,0.602,0.462
2011-07-04 11:30:00,0.54,0.212
2011-07-04 12:00:00,1.078,0.276
2011-07-04 12:30:00,1.11,0.55
2011-07-04 13:00:00,0.82,0.062
2011-07-04 13:30:00,0.784,0.262
2011-07-04 14:00:00,0.774,0.1
2011-07-04 14:30:00,0.7040000000000001,0.11199999999999999
2011-07-04 15:00:00,0.682,0.188
2011-07-04 15:30:00,0.754,0.28800000000000003
2011-07-04 16:00:00,0.982,0.11199999999999999
2011-07-04 16:30:00,0.792,0.0
2011-07-04 17:00:00,0.672,0.0
2011-07-04 17:30:00,0.68,0.0
2011-07-04 18:00:00,0.74,0.0
2011-07-04 18:30:00,0.59,0.0
2011-07-04 19:00:00,0.5660000000000001,0.0
2011-07-04 19:30:00,0.626,0.0
2011-07-04 20:00:00,0.762,0.0
2011-07-04 20:30:00,0.652,0.0
2011-07-04 21:00:00,0.5760000000000001,0.0
2011-07-04 21:30:00,0.644,0.0
2011-07-04 22:00:00,0.6659999999999999,0.0
2011-07-04 22:30:00,0.586,0.0
2011-07-04 23:00:00,0.502,0.0
2011-07-04 23:30:00,0.364,0.0
2011-07-05 00:00:00,0.41,0.0
2011-07-05 00:30:00,0.35600000000000004,0.0
2011-07-05 01:00:00,0.332,0.012
2011-07-05 01:30:00,0.386,0.0
2011-07-05 02:00:00,0.4,0.0
2011-07-05 02:30:00,0.318,0.0
2011-07-05 03:00:00,0.39399999999999996,0.0
2011-07-05 03:30:00,0.184,0.0
2011-07-05 04:00:00,0.28,0.0
2011-07-05 04:30:00,0.368,0.0
2011-07-05 05:00:00,0.32799999999999996,0.0
2011-07-05 05:30:00,0.344,0.0
2011-07-05 06:00:00,0.23,0.0
2011-07-05 06:30:00,0.28,0.0
2011-07-05 07:00:00,0.28600000000000003,0.0
